,a,b,m,n
0,72,65,71,1
1,72,65,71,2
8,72,65,71,9
9,72,65,71,10
10,72,65,71,11
16,72,65,71,17
17,72,65,71,18
18,72,65,71,19
21,72,65,71,22
23,72,65,71,24
24,72,65,71,25
25,72,65,71,26
26,72,65,71,27
27,72,65,71,28
29,72,65,71,30
30,72,65,71,31
31,72,65,71,32
32,72,65,71,33
33,72,65,71,34
34,72,65,71,35
35,72,65,71,36
36,72,65,71,37
37,72,65,71,38
38,72,65,71,39
39,72,65,71,40
40,72,65,71,41
41,72,65,71,42
42,72,65,71,43
43,72,65,71,44
44,72,65,71,45
45,72,65,71,46
46,72,65,71,47
47,72,65,71,48
48,72,65,71,49
49,72,65,71,50
50,72,65,71,51
51,72,65,71,52
52,72,65,71,53
53,72,65,71,54
54,72,65,71,55
55,72,65,71,56
57,72,65,71,58
58,72,65,71,59
59,72,65,71,60
60,72,65,71,61
62,72,65,71,63
63,72,65,71,64
65,72,65,71,67
66,72,65,71,68
67,72,65,71,69
68,72,65,71,70
72,72,65,2,1
73,72,65,4,3
74,72,65,3,2
75,72,65,6,5
76,72,65,8,7
77,72,65,7,6
78,72,65,10,9
79,72,65,9,1
80,72,65,14,13
81,72,65,13,12
82,72,65,12,11
83,72,65,11,10
84,72,65,10,2
85,72,65,16,8
86,72,65,18,17
87,72,65,17,9
88,72,65,20,19
89,72,65,19,18
90,72,65,18,10
91,72,65,10,1
92,72,65,22,21
93,72,65,21,20
94,72,65,20,12
95,72,65,12,4
96,72,65,24,16
97,72,65,16,15
98,72,65,26,25
99,72,65,25,17
100,72,65,28,27
101,72,65,27,26
102,72,65,26,18
103,72,65,18,9
104,72,65,30,29
105,72,65,29,28
106,72,65,28,20
107,72,65,20,11
108,72,65,11,3
109,72,65,32,24
110,72,65,34,33
111,72,65,33,25
112,72,65,36,35
113,72,65,35,34
114,72,65,34,26
115,72,65,26,17
116,72,65,38,37
117,72,65,37,36
118,72,65,36,28
119,72,65,28,19
120,72,65,19,11
121,72,65,11,2
122,72,65,42,41
123,72,65,41,33
124,72,65,44,43
125,72,65,43,42
126,72,65,42,34
127,72,65,34,25
128,72,65,46,45
129,72,65,45,44
130,72,65,44,36
131,72,65,36,27
132,72,65,27,19
133,72,65,19,10
134,72,65,10,3
135,72,65,51,50
136,72,65,50,49
137,72,65,49,41
138,72,65,53,52
139,72,65,55,47
140,72,65,47,40
141,72,65,40,32
142,72,65,32,31
143,72,65,31,24
144,72,65,24,23
145,72,65,23,16
146,72,65,16,7
147,72,65,59,58
148,72,65,58,57
149,72,65,57,49
150,72,65,61,60
151,72,65,63,56
152,72,65,56,55
153,72,65,55,54
154,72,65,54,53
155,72,65,53,45
156,72,65,45,37
157,72,65,37,29
158,72,65,29,21
159,72,65,68,67
160,72,65,67,66
161,72,65,66,58
162,72,65,58,50
163,72,65,50,42
164,72,65,42,33
165,72,65,70,63
166,72,65,4,5
167,72,65,14,15
168,72,65,15,7
169,72,65,22,23
170,72,65,23,31
171,72,65,31,30
172,72,65,30,22
173,72,65,40,48
174,72,65,48,47
175,72,65,47,39
176,72,65,39,31
177,72,65,31,22
178,72,65,22,14
179,72,65,14,6
180,72,65,39,40
181,72,65,40,31
182,72,65,38,39
183,72,65,56,64
184,72,65,64,63
185,72,65,63,55
186,72,65,55,46
187,72,65,46,47
188,72,65,47,56
189,72,65,56,48
190,72,65,48,39
191,72,65,39,32
192,72,65,32,23
193,72,65,51,52
194,72,65,52,44
195,72,65,44,35
196,72,65,35,27
197,72,65,27,18
198,72,65,18,11
199,72,65,11,4
200,72,65,70,69
201,72,65,59,60
202,72,65,60,52
203,72,65,52,43
204,72,65,43,35
205,72,65,35,26
206,72,65,26,19
207,72,65,19,12
208,72,65,12,3
209,72,65,61,62
210,72,65,62,63
211,72,65,63,54
212,72,65,54,46
213,72,65,46,38
214,72,65,38,30
215,72,65,30,21
216,72,65,21,13
217,72,65,13,5
218,72,65,68,69
219,72,65,43,51
220,72,65,51,59
221,72,65,59,67
222,72,65,67,58
223,72,65,58,49
224,72,65,49,42
225,72,65,60,68
226,72,65,68,59
227,72,65,59,50
228,72,65,50,41
229,72,65,53,61
230,72,65,61,69
231,72,65,69,60
232,72,65,60,51
233,72,65,51,42
234,72,65,42,35
235,72,65,35,28
236,72,65,54,62
237,72,65,62,70
238,72,65,70,61
239,72,65,15,23
240,72,65,23,14
241,72,65,14,5
242,72,65,34,43
243,72,65,43,36
244,72,65,52,61
245,72,65,61,54
246,72,65,54,45
247,72,65,45,36
248,72,65,36,29
249,72,65,44,53
250,72,65,53,62
251,72,65,28,37
252,72,65,37,46
253,72,65,46,39
254,72,65,39,30
255,72,65,30,23
256,72,65,55,64
257,72,65,20,29
258,72,65,29,38
259,72,65,38,47
260,72,65,47,54
261,72,65,61,68
262,72,65,12,21
263,72,65,21,14
264,72,65,14,7
265,72,65,46,53
266,72,65,53,60
267,72,65,60,67
268,72,65,4,13
269,72,65,13,22
270,72,65,22,15
271,72,65,15,6
272,72,65,30,37
273,72,65,37,44
274,72,65,44,51
275,72,65,51,58
276,72,65,15,24
277,72,65,48,55
278,72,65,55,62
279,72,65,62,69
280,72,65,31,38
281,72,65,38,45
282,72,65,45,52
283,72,65,52,59
284,72,65,59,66
285,72,65,8,15
286,72,65,22,29
287,72,65,43,50
288,72,65,50,57
289,72,65,21,28
290,72,65,6,13
291,72,65,13,20
292,72,65,20,27
293,72,65,27,34
294,72,65,34,41
295,72,65,5,12
296,72,65,26,33
297,72,65,18,25
298,72,65,10,17
299,72,65,2,9
300,71,1,72,65
301,71,2,72,65
308,71,9,72,65
309,71,10,72,65
310,71,11,72,65
316,71,17,72,65
317,71,18,72,65
318,71,19,72,65
321,71,22,72,65
323,71,24,72,65
324,71,25,72,65
325,71,26,72,65
326,71,27,72,65
327,71,28,72,65
329,71,30,72,65
330,71,31,72,65
331,71,32,72,65
332,71,33,72,65
333,71,34,72,65
334,71,35,72,65
335,71,36,72,65
336,71,37,72,65
337,71,38,72,65
338,71,39,72,65
339,71,40,72,65
340,71,41,72,65
341,71,42,72,65
342,71,43,72,65
343,71,44,72,65
344,71,45,72,65
345,71,46,72,65
346,71,47,72,65
347,71,48,72,65
348,71,49,72,65
349,71,50,72,65
350,71,51,72,65
351,71,52,72,65
352,71,53,72,65
353,71,54,72,65
354,71,55,72,65
355,71,56,72,65
357,71,58,72,65
358,71,59,72,65
359,71,60,72,65
360,71,61,72,65
362,71,63,72,65
363,71,64,72,65
365,71,67,72,65
366,71,68,72,65
367,71,69,72,65
368,71,70,72,65
